Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Junqi Liu,1,,,,3
Junwei Yang,1,,https://openalex.org/A5124927786,A5124927786,6
Junxiong Li,1,,https://openalex.org/A5124970489,A5124970489,6
Junyan Wu,2,,https://openalex.org/A5081194865,A5081194865,"1, 6"
Junyao Sun,1,,https://openalex.org/A5124909816,A5124909816,6
Junyu Luo,1,,https://openalex.org/A5124893520,A5124893520,6
Kai Yang,1,,https://openalex.org/A5124920713,A5124920713,6
Kaixin Wang,1,,https://openalex.org/A5124906710,A5124906710,6
Ke Huang,1,,https://openalex.org/A5124946001,A5124946001,6
Kefan Chen,1,,https://openalex.org/A5124947159,A5124947159,6
Kelin Fu,2,,https://openalex.org/A5124882756,A5124882756,"3, 6"
Kezhu Tao,1,,https://openalex.org/A5038315013,A5038315013,5
Kimi Chen,1,,https://openalex.org/A5076197201,A5076197201,5
Kimi Team,5,,https://openalex.org/A5116011620,A5116011620,"1, 2, 3, 4, 6"
Kun Ouyang,2,,https://openalex.org/A5070457360,A5070457360,"2, 6"
Kun Zhou,1,,https://openalex.org/A5009156729,A5009156729,5
L. H. Xu,2,,https://openalex.org/A5124951030,A5124951030,"3, 6"
Li Yang,1,,https://openalex.org/A5100460352,A5100460352,2
Liang Chen,2,,https://openalex.org/A5100604810,A5100604810,"2, 6"
Liang Liu,2,,https://openalex.org/A5124893062,A5124893062,"3, 6"
Lidong Shi,3,,https://openalex.org/A5054466125,A5054466125,"1, 3, 6"
Lijun Lu,1,,,,3
Lin Sui,2,,https://openalex.org/A5124914464,A5124914464,"3, 6"
Lin Xu,2,,https://openalex.org/A5124933277,A5124933277,"3, 6"
Lincan Li,1,,https://openalex.org/A5005362290,A5005362290,6
Ling Ye,1,,https://openalex.org/A5100646452,A5100646452,1
Lingxiao Du,1,,https://openalex.org/A5101102405,A5101102405,6
Linian Wang,1,,https://openalex.org/A5124935435,A5124935435,6
Liya Zhu,1,,https://openalex.org/A5124946701,A5124946701,6
Long Ma,1,,https://openalex.org/A5124956002,A5124956002,6
Longguang Zhong,3,,https://openalex.org/A5104251305,A5104251305,"3, 4, 6"
Longhui Yu,5,,https://openalex.org/A5049419584,A5049419584,"1, 2, 3, 4, 6"
Longyu Guan,3,,https://openalex.org/A5054940641,A5054940641,"3, 4, 6"
